binary,target,goarch,abi,bytes
openrhp,amd64,amd64,amd64,9441404
openrhp-helper,amd64,amd64,amd64,5918844
openrhp-node,amd64,amd64,amd64,7954556
openrhp-release,amd64,amd64,amd64,3379324
openrhp,386,386,386,9097340
openrhp-helper,386,386,386,5873788
openrhp-node,386,386,386,7733372
openrhp-release,386,386,386,3223676
openrhp,armv5,arm,armv5,9240700
openrhp-helper,armv5,arm,armv5,5963900
openrhp-node,armv5,arm,armv5,7929980
openrhp-release,armv5,arm,armv5,3342460
openrhp,armv6,arm,armv6,9240700
openrhp-helper,armv6,arm,armv6,5963900
openrhp-node,armv6,arm,armv6,7864444
openrhp-release,armv6,arm,armv6,3342460
openrhp,armv7,arm,armv7,9175164
openrhp-helper,armv7,arm,armv7,5963900
openrhp-node,armv7,arm,armv7,7864444
openrhp-release,armv7,arm,armv7,3342460
openrhp,arm64,arm64,arm64,8716412
openrhp-helper,arm64,arm64,arm64,5439612
openrhp-node,arm64,arm64,arm64,7405692
openrhp-release,arm64,arm64,arm64,3211388
openrhp,mips-softfloat,mips,mips-softfloat,10420379
openrhp-helper,mips-softfloat,mips,mips-softfloat,6684827
openrhp-node,mips-softfloat,mips,mips-softfloat,8847515
openrhp-release,mips-softfloat,mips,mips-softfloat,3735707
openrhp,mipsle-softfloat,mipsle,mipsle-softfloat,10420379
openrhp-helper,mipsle-softfloat,mipsle,mipsle-softfloat,6684827
openrhp-node,mipsle-softfloat,mipsle,mipsle-softfloat,8847515
openrhp-release,mipsle-softfloat,mipsle,mipsle-softfloat,3735707
openrhp,mips64-softfloat,mips64,mips64-softfloat,10420348
openrhp-helper,mips64-softfloat,mips64,mips64-softfloat,6619260
openrhp-node,mips64-softfloat,mips64,mips64-softfloat,8781948
openrhp-release,mips64-softfloat,mips64,mips64-softfloat,3866748
openrhp,mips64le-softfloat,mips64le,mips64le-softfloat,10420348
openrhp-helper,mips64le-softfloat,mips64le,mips64le-softfloat,6619260
openrhp-node,mips64le-softfloat,mips64le,mips64le-softfloat,8781948
openrhp-release,mips64le-softfloat,mips64le,mips64le-softfloat,3866748
openrhp,riscv64,riscv64,riscv64,8388732
openrhp-helper,riscv64,riscv64,riscv64,5308540
openrhp-node,riscv64,riscv64,riscv64,7012476
openrhp-release,riscv64,riscv64,riscv64,3080316
